Accession,Submitters,Organization,Release_Date,Isolate,Length,Nuc_Completeness,Geo_Location,Country,Host,Isolation_Source,Collection_Date,complete_date,complete_location,date_format,wild/captive,migration pattern,notes
EF206350,"Bakonyi,T., Erdelyi,K., Ursu,K., Ferenczi,E., Csorgo,T., Lussy,H., Chvala,S., Bukovsky,C., Meister,T., Weissenbock,H., Nowotny,N.","Faculty of Veterinary Science, Szent Istvan University, Department of Microbiology and Infectious Diseases",2007-11-13,Budapest,11065,complete,,Hungary,Turdus merula,brain,2005,FALSE,,yyyy,,,
EF393679,"Chvala,S., Bakonyi,T., Bukovsky,C., Meister,T., Brugger,K., Rubel,F., Nowotny,N., Weissenbock,H.","Department of Diagnostic Imaging, Infectious Diseases and Clinical Pathology, University of Veterinary Medicine, Vienna, Zoonoses and Emerging Infectious Group, Clinical Virology",2007-05-27,USU588-05,1347,partial,Austria: Vienna,Austria,Turdus merula,brain,2005,FALSE,,yyyy,,,
EF393680,"Chvala,S., Bakonyi,T., Bukovsky,C., Meister,T., Brugger,K., Rubel,F., Nowotny,N., Weissenbock,H.","Department of Diagnostic Imaging, Infectious Diseases and Clinical Pathology, University of Veterinary Medicine, Vienna, Zoonoses and Emerging Infectious Group, Clinical Virology",2007-05-27,USU604-05,1347,partial,Austria: Vienna,Austria,Turdus merula,brain,2005,FALSE,,yyyy,,,
EF393681,"Chvala,S., Bakonyi,T., Bukovsky,C., Meister,T., Brugger,K., Rubel,F., Nowotny,N., Weissenbock,H.","Department of Diagnostic Imaging, Infectious Diseases and Clinical Pathology, University of Veterinary Medicine, Vienna, Zoonoses and Emerging Infectious Group, Clinical Virology",2007-05-27,USU629-05,1347,partial,Austria: Vienna,Austria,Turdus merula,brain,2005,FALSE,,yyyy,,,
EU074021,"Moureau,G., Temmam,S., Gonzalez,J.P., Charrel,R.N., Grard,G., de Lamballerie,X., Charrel,R.","Unite des Virus Emergents, Faculte de Medecine",2008-02-21,,232,partial,,South Africa,,,,FALSE,,NA,,,missing complete date
HE599647,"Becker,N., Jost,H., Ziegler,U., Eiden,M., Hoper,D., Emmerich,P., Fichet-Calvet,E., Ehichioya,D.U., Czajka,C., Gabriel,M., Hoffmann,B., Beer,M., Tenner-Racz,K., Racz,P., Gunther,S., Wink,M., Bosch,S., Konrad,A., Pfeffer,M., Groschup,M.H., Schmidt-Chanasit,J., Hoeper,D.","to the INSDC. Friedrich-Loeffler-Institute, Federal Resaerch Institute for Animal Health, Institue of Diagnostic Virology, Suedufer 10, Greifswald - Insel Riems 17493",2011-09-28,BH65/11-02-03,11003,partial,"Germany:Baden-Wuerttemberg, Mannheim",Germany,Turdus merula,,2011-09-10,TRUE,,yyyy-mm-dd,,,
HM138707,"Calzolari,M., Bonilauri,P., Barbieri,I.",Istituto Zooprofilattico Sperimentale della Lombardia e dell'Emilia-Romagna,2010-07-07,USU-BO-1/2009,264,partial,Bassa Bolognese,Italy,Culex pipiens,,2009-07-29,TRUE,,yyyy-mm-dd,,,
HM138708,"Calzolari,M., Bonilauri,P., Barbieri,I.",Istituto Zooprofilattico Sperimentale della Lombardia e dell'Emilia-Romagna,2010-07-07,USU-BO-2/2009,265,partial,Bassa Bolognese,Italy,Culex pipiens,,2009-07-29,TRUE,,yyyy-mm-dd,,,
HM138709,"Calzolari,M., Bonilauri,P., Barbieri,I.",Istituto Zooprofilattico Sperimentale della Lombardia e dell'Emilia-Romagna,2010-07-07,USU-MO-1/2009,233,partial,Modena province,Italy,Culex pipiens,,2009-09-09,TRUE,,yyyy-mm-dd,,,
HM138710,"Calzolari,M., Bonilauri,P., Barbieri,I.",Istituto Zooprofilattico Sperimentale della Lombardia e dell'Emilia-Romagna,2010-07-07,USU-BO-3/2009,263,partial,Bassa Bolognese,Italy,Culex pipiens,,2009-07-08,TRUE,,yyyy-mm-dd,,,
HM138711,"Calzolari,M., Bonilauri,P., Barbieri,I.",Istituto Zooprofilattico Sperimentale della Lombardia e dell'Emilia-Romagna,2010-07-07,USU-BO-4/2009,263,partial,Bassa Bolognese,Italy,Culex pipiens,,2009-07-08,TRUE,,yyyy-mm-dd,,,
HM138712,"Calzolari,M., Bonilauri,P., Barbieri,I.",Istituto Zooprofilattico Sperimentale della Lombardia e dell'Emilia-Romagna,2010-07-07,USU-BO-5/2009,263,partial,Bassa Bolognese,Italy,Culex pipiens,,2009-07-08,TRUE,,yyyy-mm-dd,,,
HM138713,"Calzolari,M., Bonilauri,P., Barbieri,I.",Istituto Zooprofilattico Sperimentale della Lombardia e dell'Emilia-Romagna,2010-07-07,USU-BO-6/2009,263,partial,Bassa Bolognese,Italy,Culex pipiens,,2009-07-08,TRUE,,yyyy-mm-dd,,,
HM138714,"Calzolari,M., Bonilauri,P., Barbieri,I.",Istituto Zooprofilattico Sperimentale della Lombardia e dell'Emilia-Romagna,2010-07-07,USU-BO-7/2009,266,partial,Bassa Bolognese,Italy,Culex pipiens,,2009-07-15,TRUE,,yyyy-mm-dd,,,
HM138715,"Calzolari,M., Bonilauri,P., Barbieri,I.",Istituto Zooprofilattico Sperimentale della Lombardia e dell'Emilia-Romagna,2010-07-07,USU-FE-1/2009,265,partial,Emilia Romagna,Italy,Culex pipiens,,2009-07-17,TRUE,,yyyy-mm-dd,,,
HM138716,"Calzolari,M., Bonilauri,P., Barbieri,I.",Istituto Zooprofilattico Sperimentale della Lombardia e dell'Emilia-Romagna,2010-07-07,USU-BO-8/2009,242,partial,Bassa Bolognese,Italy,Culex pipiens,,2009-09-02,TRUE,,yyyy-mm-dd,,,
HM138717,"Calzolari,M., Bonilauri,P., Barbieri,I.",Istituto Zooprofilattico Sperimentale della Lombardia e dell'Emilia-Romagna,2010-07-07,USU-BO-9/2009,265,partial,Bassa Bolognese,Italy,Culex pipiens,,2009-07-22,TRUE,,yyyy-mm-dd,,,
HM138718,"Calzolari,M., Bonilauri,P., Barbieri,I.",Istituto Zooprofilattico Sperimentale della Lombardia e dell'Emilia-Romagna,2010-07-07,USU-BO-10/2009,266,partial,Bassa Bolognese,Italy,Culex pipiens,,2009-07-29,TRUE,,yyyy-mm-dd,,,
HM569263,"Gaibani,P., Cavrini,F., Gould,E.A., Rossini,G., Pierro,A., Landini,M.P., Sambri,V.","Regional Reference Centre for Microbiological Emergencies (CRREM), St. Orsola-Malpighi University Hospital, University of Bologna, Clinical Microbiology Unit",2013-05-31,,11065,complete,,Italy,Homo sapiens,blood,2009-09-24,TRUE,,yyyy-mm-dd,,,
HQ833022,"Vazquez,A., Ruiz,S., Herrero,L., Moreno,J., Molero,F., Magallanes,A., Sanchez-Seco,M.P., Figuerola,J., Tenorio,A.","Instituto de Salud Carlos III, Centro Nacional Microbiologia",2011-07-12,HU10279_09,1671,partial,,Spain,Culex perexiguus,,2009,FALSE,,yyyy,,,
JF266698,"Savini,G., Monaco,F., Terregino,C., Di Gennaro,A., Bano,L., Pinoni,C., De Nardi,R., Bonilauri,P., Pecorari,M., Di Gialleonardo,L., Bonfanti,L., Polci,A., Calistri,P., Lelli,R.",Istituto G. Caporale,2011-07-18,,11065,complete,,Italy,Turdus merula,,2009,FALSE,,yyyy,,,
JF330418,"Jost,H., Bialonski,A., Maus,D., Sambri,V., Eiden,M., Groschup,M.H., Gunther,S., Becker,N., Schmidt-Chanasit,J.","Bernhard Nocht Institute for Tropical Medicine, Department of Virology",2011-08-13,,1329,partial,,Germany,Culex pipiens pipiens,,2010-08,,,yyyy-mm,,,
JF331430,"Savini,G., Monaco,F., Terregino,C., Di Gennaro,A., Bano,L., Pinoni,C., De Nardi,R., Bonilauri,P., Pecorari,M., Di Gialleonardo,L., Bonfanti,L., Polci,A., Calistri,P., Lelli,R.",Istituto G. Caporale,2011-07-18,PI-09-Cp,452,partial,Tuscany,Italy,Culex pipiens,,2009-11-02,TRUE,,yyyy-mm-dd,,,
JF331431,"Savini,G., Monaco,F., Terregino,C., Di Gennaro,A., Bano,L., Pinoni,C., De Nardi,R., Bonilauri,P., Pecorari,M., Di Gialleonardo,L., Bonfanti,L., Polci,A., Calistri,P., Lelli,R.",Istituto G. Caporale,2011-07-18,TV2-09-Tm,452,partial,Treviso (Veneto),Italy,Turdus merula,,2009-10-14,TRUE,,yyyy-mm-dd,,,
JF331432,"Savini,G., Monaco,F., Terregino,C., Di Gennaro,A., Bano,L., Pinoni,C., De Nardi,R., Bonilauri,P., Pecorari,M., Di Gialleonardo,L., Bonfanti,L., Polci,A., Calistri,P., Lelli,R.",Istituto G. Caporale,2011-07-18,TV1-09-Tm,452,partial,Treviso (Veneto),Italy,Turdus merula,,2009-04-22,TRUE,,yyyy-mm-dd,,,
JF331433,"Savini,G., Monaco,F., Terregino,C., Di Gennaro,A., Bano,L., Pinoni,C., De Nardi,R., Bonilauri,P., Pecorari,M., Di Gialleonardo,L., Bonfanti,L., Polci,A., Calistri,P., Lelli,R.",Istituto G. Caporale,2011-07-18,VE-09-Tm,452,partial,Venezia (Veneto),Italy,Turdus merula,,2009-11-02,TRUE,,yyyy-mm-dd,,,
JF331434,"Savini,G., Monaco,F., Terregino,C., Di Gennaro,A., Bano,L., Pinoni,C., De Nardi,R., Bonilauri,P., Pecorari,M., Di Gialleonardo,L., Bonfanti,L., Polci,A., Calistri,P., Lelli,R.",Istituto G. Caporale,2011-07-18,MO-09-Hu,452,partial,Modena (Emilia Rom.),Italy,Homo sapiens,,2009-10-23,TRUE,,yyyy-mm-dd,,,
JF331435,"Savini,G., Monaco,F., Terregino,C., Di Gennaro,A., Bano,L., Pinoni,C., De Nardi,R., Bonilauri,P., Pecorari,M., Di Gialleonardo,L., Bonfanti,L., Polci,A., Calistri,P., Lelli,R.",Istituto G. Caporale,2011-07-18,UD-09-Tm,452,partial,Udine (Friuli),Italy,Turdus merula,,2009-10-14,TRUE,,yyyy-mm-dd,,,
JF331436,"Savini,G., Monaco,F., Terregino,C., Di Gennaro,A., Bano,L., Pinoni,C., De Nardi,R., Bonilauri,P., Pecorari,M., Di Gialleonardo,L., Bonfanti,L., Polci,A., Calistri,P., Lelli,R.",Istituto G. Caporale,2011-07-18,RA-09-Tm,452,partial,Ravenna (Emilia Rom.),Italy,Turdus merula,,2009-11-02,TRUE,,yyyy-mm-dd,,,
JF331437,"Savini,G., Monaco,F., Terregino,C., Di Gennaro,A., Bano,L., Pinoni,C., De Nardi,R., Bonilauri,P., Pecorari,M., Di Gialleonardo,L., Bonfanti,L., Polci,A., Calistri,P., Lelli,R.",Istituto G. Caporale,2011-07-18,TV3-09-Tm,452,partial,Treviso (Veneto),Italy,Turdus merula,,2009-11-02,TRUE,,yyyy-mm-dd,,,
JF826447,"Eiden,M.E., Groschup,M.H., Sambri,V.","Friedrich-Loeffler-Institut, Institute for Novel and Emerging Infectious Diseases",2011-10-05,Usu425,425,partial,Italy: Bologna,Italy,Homo sapiens,,2009,FALSE,,yyyy,,,
JF826448,"Eiden,M.E., Groschup,M.H., Sambri,V.","Friedrich-Loeffler-Institut, Institute for Novel and Emerging Infectious Diseases",2011-10-05,Usu973,788,partial,Italy: Bologna,Italy,Homo sapiens,,2009,FALSE,,yyyy,,,
JF834546,"Calzolari,M., Gaibani,P., Bellini,R., Defilippo,F., Pierro,A., Albieri,A., Maioli,G., Luppi,A., Rossini,G., Balzani,A., Tamba,M., Galletti,G., Gelati,A., Carrieri,M., Poglayen,G., Cavrini,F., Natalini,S., Dottori,M., Sambri,V., Angelini,P., Bonilauri,P.","Istituto Zooprofilattico Sperimentale della Lombardia e dell'Emilia-Romagna, Laboratorio Entomologico - Sezione Reggio Emilia",2011-10-11,USU-BO-m2/2010,263,partial,Bologna,Italy,Culex pipiens,,2010-08-06,TRUE,,yyyy-mm-dd,,,
JF834547,"Calzolari,M., Gaibani,P., Bellini,R., Defilippo,F., Pierro,A., Albieri,A., Maioli,G., Luppi,A., Rossini,G., Balzani,A., Tamba,M., Galletti,G., Gelati,A., Carrieri,M., Poglayen,G., Cavrini,F., Natalini,S., Dottori,M., Sambri,V., Angelini,P., Bonilauri,P.","Istituto Zooprofilattico Sperimentale della Lombardia e dell'Emilia-Romagna, Laboratorio Entomologico - Sezione Reggio Emilia",2011-10-11,USU-FE-m4/2010,263,partial,Ferrara,Italy,Culex pipiens,,2010-08-26,TRUE,,yyyy-mm-dd,,,
JF834548,"Calzolari,M., Gaibani,P., Bellini,R., Defilippo,F., Pierro,A., Albieri,A., Maioli,G., Luppi,A., Rossini,G., Balzani,A., Tamba,M., Galletti,G., Gelati,A., Carrieri,M., Poglayen,G., Cavrini,F., Natalini,S., Dottori,M., Sambri,V., Angelini,P., Bonilauri,P.","Istituto Zooprofilattico Sperimentale della Lombardia e dell'Emilia-Romagna, Laboratorio Entomologico - Sezione Reggio Emilia",2011-10-11,USU-MO-m18/2010,263,partial,Modena,Italy,Culex pipiens,,2010-08-23,TRUE,,yyyy-mm-dd,,,
JF834549,"Calzolari,M., Gaibani,P., Bellini,R., Defilippo,F., Pierro,A., Albieri,A., Maioli,G., Luppi,A., Rossini,G., Balzani,A., Tamba,M., Galletti,G., Gelati,A., Carrieri,M., Poglayen,G., Cavrini,F., Natalini,S., Dottori,M., Sambri,V., Angelini,P., Bonilauri,P.","Istituto Zooprofilattico Sperimentale della Lombardia e dell'Emilia-Romagna, Laboratorio Entomologico - Sezione Reggio Emilia",2011-10-11,USU-MO-m22/2010,263,partial,Modena,Italy,Culex pipiens,,2010-08-26,TRUE,,yyyy-mm-dd,,,
JF834550,"Calzolari,M., Gaibani,P., Bellini,R., Defilippo,F., Pierro,A., Albieri,A., Maioli,G., Luppi,A., Rossini,G., Balzani,A., Tamba,M., Galletti,G., Gelati,A., Carrieri,M., Poglayen,G., Cavrini,F., Natalini,S., Dottori,M., Sambri,V., Angelini,P., Bonilauri,P.","Istituto Zooprofilattico Sperimentale della Lombardia e dell'Emilia-Romagna, Laboratorio Entomologico - Sezione Reggio Emilia",2011-10-11,USU-FE-m5/2010,262,partial,Ferrara,Italy,Culex pipiens,,2010-09-09,TRUE,,yyyy-mm-dd,,,
JF834551,"Calzolari,M., Gaibani,P., Bellini,R., Defilippo,F., Pierro,A., Albieri,A., Maioli,G., Luppi,A., Rossini,G., Balzani,A., Tamba,M., Galletti,G., Gelati,A., Carrieri,M., Poglayen,G., Cavrini,F., Natalini,S., Dottori,M., Sambri,V., Angelini,P., Bonilauri,P.","Istituto Zooprofilattico Sperimentale della Lombardia e dell'Emilia-Romagna, Laboratorio Entomologico - Sezione Reggio Emilia",2011-10-11,USU-RE-m5/2010,241,partial,Reggio Emilia,Italy,Culex pipiens,,2010-08-10,TRUE,,yyyy-mm-dd,,,
JF834552,"Calzolari,M., Gaibani,P., Bellini,R., Defilippo,F., Pierro,A., Albieri,A., Maioli,G., Luppi,A., Rossini,G., Balzani,A., Tamba,M., Galletti,G., Gelati,A., Carrieri,M., Poglayen,G., Cavrini,F., Natalini,S., Dottori,M., Sambri,V., Angelini,P., Bonilauri,P.","Istituto Zooprofilattico Sperimentale della Lombardia e dell'Emilia-Romagna, Laboratorio Entomologico - Sezione Reggio Emilia",2011-10-11,USU-BO-m3/2010,264,partial,Bologna,Italy,Culex pipiens,,2010-08-06,TRUE,,yyyy-mm-dd,,,
JF834553,"Calzolari,M., Gaibani,P., Bellini,R., Defilippo,F., Pierro,A., Albieri,A., Maioli,G., Luppi,A., Rossini,G., Balzani,A., Tamba,M., Galletti,G., Gelati,A., Carrieri,M., Poglayen,G., Cavrini,F., Natalini,S., Dottori,M., Sambri,V., Angelini,P., Bonilauri,P.","Istituto Zooprofilattico Sperimentale della Lombardia e dell'Emilia-Romagna, Laboratorio Entomologico - Sezione Reggio Emilia",2011-10-11,USU-BO-m4/2010,263,partial,Bologna,Italy,Culex pipiens,,2010-08-09,TRUE,,yyyy-mm-dd,,,
JF834554,"Calzolari,M., Gaibani,P., Bellini,R., Defilippo,F., Pierro,A., Albieri,A., Maioli,G., Luppi,A., Rossini,G., Balzani,A., Tamba,M., Galletti,G., Gelati,A., Carrieri,M., Poglayen,G., Cavrini,F., Natalini,S., Dottori,M., Sambri,V., Angelini,P., Bonilauri,P.","Istituto Zooprofilattico Sperimentale della Lombardia e dell'Emilia-Romagna, Laboratorio Entomologico - Sezione Reggio Emilia",2011-10-11,USU-BO-m5/2010,264,partial,Bologna,Italy,Culex pipiens,,2010-08-11,TRUE,,yyyy-mm-dd,,,
JF834555,"Calzolari,M., Gaibani,P., Bellini,R., Defilippo,F., Pierro,A., Albieri,A., Maioli,G., Luppi,A., Rossini,G., Balzani,A., Tamba,M., Galletti,G., Gelati,A., Carrieri,M., Poglayen,G., Cavrini,F., Natalini,S., Dottori,M., Sambri,V., Angelini,P., Bonilauri,P.","Istituto Zooprofilattico Sperimentale della Lombardia e dell'Emilia-Romagna, Laboratorio Entomologico - Sezione Reggio Emilia",2011-10-11,USU-BO-m13/2010,264,partial,Bologna,Italy,Culex pipiens,,2010-08-25,TRUE,,yyyy-mm-dd,,,
JF834556,"Calzolari,M., Gaibani,P., Bellini,R., Defilippo,F., Pierro,A., Albieri,A., Maioli,G., Luppi,A., Rossini,G., Balzani,A., Tamba,M., Galletti,G., Gelati,A., Carrieri,M., Poglayen,G., Cavrini,F., Natalini,S., Dottori,M., Sambri,V., Angelini,P., Bonilauri,P.","Istituto Zooprofilattico Sperimentale della Lombardia e dell'Emilia-Romagna, Laboratorio Entomologico - Sezione Reggio Emilia",2011-10-11,USU-BO-m14/2010,264,partial,Bologna,Italy,Culex pipiens,,2010-08-25,TRUE,,yyyy-mm-dd,,,
JF834557,"Calzolari,M., Gaibani,P., Bellini,R., Defilippo,F., Pierro,A., Albieri,A., Maioli,G., Luppi,A., Rossini,G., Balzani,A., Tamba,M., Galletti,G., Gelati,A., Carrieri,M., Poglayen,G., Cavrini,F., Natalini,S., Dottori,M., Sambri,V., Angelini,P., Bonilauri,P.","Istituto Zooprofilattico Sperimentale della Lombardia e dell'Emilia-Romagna, Laboratorio Entomologico - Sezione Reggio Emilia",2011-10-11,USU-BO-m15/2010,225,partial,Bologna,Italy,Culex pipiens,,2010-08-25,TRUE,,yyyy-mm-dd,,,
JF834558,"Calzolari,M., Gaibani,P., Bellini,R., Defilippo,F., Pierro,A., Albieri,A., Maioli,G., Luppi,A., Rossini,G., Balzani,A., Tamba,M., Galletti,G., Gelati,A., Carrieri,M., Poglayen,G., Cavrini,F., Natalini,S., Dottori,M., Sambri,V., Angelini,P., Bonilauri,P.","Istituto Zooprofilattico Sperimentale della Lombardia e dell'Emilia-Romagna, Laboratorio Entomologico - Sezione Reggio Emilia",2011-10-11,USU-BO-m16/2010,264,partial,Bologna,Italy,Culex pipiens,,2010-08-25,TRUE,,yyyy-mm-dd,,,
JF834559,"Calzolari,M., Gaibani,P., Bellini,R., Defilippo,F., Pierro,A., Albieri,A., Maioli,G., Luppi,A., Rossini,G., Balzani,A., Tamba,M., Galletti,G., Gelati,A., Carrieri,M., Poglayen,G., Cavrini,F., Natalini,S., Dottori,M., Sambri,V., Angelini,P., Bonilauri,P.","Istituto Zooprofilattico Sperimentale della Lombardia e dell'Emilia-Romagna, Laboratorio Entomologico - Sezione Reggio Emilia",2011-10-11,USU-BO-m17/2010,264,partial,Bologna,Italy,Culex pipiens,,2010-08-25,TRUE,,yyyy-mm-dd,,,
JF834560,"Calzolari,M., Gaibani,P., Bellini,R., Defilippo,F., Pierro,A., Albieri,A., Maioli,G., Luppi,A., Rossini,G., Balzani,A., Tamba,M., Galletti,G., Gelati,A., Carrieri,M., Poglayen,G., Cavrini,F., Natalini,S., Dottori,M., Sambri,V., Angelini,P., Bonilauri,P.","Istituto Zooprofilattico Sperimentale della Lombardia e dell'Emilia-Romagna, Laboratorio Entomologico - Sezione Reggio Emilia",2011-10-11,USU-FE-m1/2010,264,partial,Ferrara,Italy,Culex pipiens,,2010-08-06,TRUE,,yyyy-mm-dd,,,
JF834561,"Calzolari,M., Gaibani,P., Bellini,R., Defilippo,F., Pierro,A., Albieri,A., Maioli,G., Luppi,A., Rossini,G., Balzani,A., Tamba,M., Galletti,G., Gelati,A., Carrieri,M., Poglayen,G., Cavrini,F., Natalini,S., Dottori,M., Sambri,V., Angelini,P., Bonilauri,P.","Istituto Zooprofilattico Sperimentale della Lombardia e dell'Emilia-Romagna, Laboratorio Entomologico - Sezione Reggio Emilia",2011-10-11,USU-FE-m2/2010,264,partial,Ferrara,Italy,Culex pipiens,,2010-08-09,TRUE,,yyyy-mm-dd,,,
JF834562,"Calzolari,M., Gaibani,P., Bellini,R., Defilippo,F., Pierro,A., Albieri,A., Maioli,G., Luppi,A., Rossini,G., Balzani,A., Tamba,M., Galletti,G., Gelati,A., Carrieri,M., Poglayen,G., Cavrini,F., Natalini,S., Dottori,M., Sambri,V., Angelini,P., Bonilauri,P.","Istituto Zooprofilattico Sperimentale della Lombardia e dell'Emilia-Romagna, Laboratorio Entomologico - Sezione Reggio Emilia",2011-10-11,USU-FE-m3/2010,264,partial,Ferrara,Italy,Culex pipiens,,2010-08-23,TRUE,,yyyy-mm-dd,,,
JF834563,"Calzolari,M., Gaibani,P., Bellini,R., Defilippo,F., Pierro,A., Albieri,A., Maioli,G., Luppi,A., Rossini,G., Balzani,A., Tamba,M., Galletti,G., Gelati,A., Carrieri,M., Poglayen,G., Cavrini,F., Natalini,S., Dottori,M., Sambri,V., Angelini,P., Bonilauri,P.","Istituto Zooprofilattico Sperimentale della Lombardia e dell'Emilia-Romagna, Laboratorio Entomologico - Sezione Reggio Emilia",2011-10-11,USU-FE-m6/2010,263,partial,Ferrara,Italy,Culex pipiens,,2010-09-22,TRUE,,yyyy-mm-dd,,,
JF834564,"Calzolari,M., Gaibani,P., Bellini,R., Defilippo,F., Pierro,A., Albieri,A., Maioli,G., Luppi,A., Rossini,G., Balzani,A., Tamba,M., Galletti,G., Gelati,A., Carrieri,M., Poglayen,G., Cavrini,F., Natalini,S., Dottori,M., Sambri,V., Angelini,P., Bonilauri,P.","Istituto Zooprofilattico Sperimentale della Lombardia e dell'Emilia-Romagna, Laboratorio Entomologico - Sezione Reggio Emilia",2011-10-11,USU-FE-m7/2010,264,partial,Ferrara,Italy,Culex pipiens,,2010-09-23,TRUE,,yyyy-mm-dd,,,
JF834565,"Calzolari,M., Gaibani,P., Bellini,R., Defilippo,F., Pierro,A., Albieri,A., Maioli,G., Luppi,A., Rossini,G., Balzani,A., Tamba,M., Galletti,G., Gelati,A., Carrieri,M., Poglayen,G., Cavrini,F., Natalini,S., Dottori,M., Sambri,V., Angelini,P., Bonilauri,P.","Istituto Zooprofilattico Sperimentale della Lombardia e dell'Emilia-Romagna, Laboratorio Entomologico - Sezione Reggio Emilia",2011-10-11,USU-MO-b1/2010,264,partial,Modena,Italy,Turdus merula,,2010-07-31,TRUE,,yyyy-mm-dd,,,
JF834566,"Calzolari,M., Gaibani,P., Bellini,R., Defilippo,F., Pierro,A., Albieri,A., Maioli,G., Luppi,A., Rossini,G., Balzani,A., Tamba,M., Galletti,G., Gelati,A., Carrieri,M., Poglayen,G., Cavrini,F., Natalini,S., Dottori,M., Sambri,V., Angelini,P., Bonilauri,P.","Istituto Zooprofilattico Sperimentale della Lombardia e dell'Emilia-Romagna, Laboratorio Entomologico - Sezione Reggio Emilia",2011-10-11,USU-MO-m5/2010,264,partial,Modena,Italy,Culex pipiens,,2010-08-05,TRUE,,yyyy-mm-dd,,,
