Accession,Organism_Name,Assembly,Submitters,Organization,Org_location,Release_Date,Isolate,Species,Length,Nuc_Completeness,Geo_Location,Country,USA,Host,Tissue_Specimen_Source,Collection_Date,BioSample,BioProject
OR921093,Usutu virus,,"Savini,G., Monaco,F., Mencattelli,G., Curini,V., Teodori,L., Polci,A., Amatori,G., Valleriani,F.","Istituto Zooprofilattico Sperimentale dell'Abruzzo e del Molise 'G. Caporale', Animals Foreign Diseases",Italy,20/12/2023,2023.TE.16391.1.1,Orthoflavivirus usutuense,10515,partial,Emilia-Romagna,Italy,,Culex pipiens,,11/08/2023,,
OR921094,Usutu virus,,"Savini,G., Monaco,F., Mencattelli,G., Curini,V., Teodori,L., Polci,A., Amatori,G., Valleriani,F.","Istituto Zooprofilattico Sperimentale dell'Abruzzo e del Molise 'G. Caporale', Animals Foreign Diseases",Italy,20/12/2023,2023.TE.16400.1.1,Orthoflavivirus usutuense,10481,partial,Emilia-Romagna,Italy,,Culex pipiens,,11/08/2023,,
OR921095,Usutu virus,,"Savini,G., Monaco,F., Mencattelli,G., Curini,V., Teodori,L., Polci,A., Amatori,G., Valleriani,F.","Istituto Zooprofilattico Sperimentale dell'Abruzzo e del Molise 'G. Caporale', Animals Foreign Diseases",Italy,20/12/2023,2023.TE.16392.1.1,Orthoflavivirus usutuense,10494,partial,Emilia-Romagna,Italy,,Culex pipiens,,11/08/2023,,
OR921096,Usutu virus,,"Savini,G., Monaco,F., Mencattelli,G., Curini,V., Teodori,L., Polci,A., Amatori,G., Valleriani,F.","Istituto Zooprofilattico Sperimentale dell'Abruzzo e del Molise 'G. Caporale', Animals Foreign Diseases",Italy,20/12/2023,2023.TE.18225.1.1,Orthoflavivirus usutuense,10483,partial,Veneto,Italy,,Turdus merula,,07/09/2023,,
OR921097,Usutu virus,,"Savini,G., Monaco,F., Mencattelli,G., Curini,V., Teodori,L., Polci,A., Amatori,G., Valleriani,F.","Istituto Zooprofilattico Sperimentale dell'Abruzzo e del Molise 'G. Caporale', Animals Foreign Diseases",Italy,20/12/2023,2023.TE.16404.1.1,Orthoflavivirus usutuense,10495,partial,Emilia-Romagna,Italy,,Culex pipiens,,11/08/2023,,
OR921098,Usutu virus,,"Savini,G., Monaco,F., Mencattelli,G., Curini,V., Teodori,L., Polci,A., Amatori,G., Valleriani,F.","Istituto Zooprofilattico Sperimentale dell'Abruzzo e del Molise 'G. Caporale', Animals Foreign Diseases",Italy,20/12/2023,2023.TE.16835.1.1,Orthoflavivirus usutuense,10607,partial,Emilia-Romagna,Italy,,Columba palumbus,,23/08/2023,,
OR921099,Usutu virus,,"Savini,G., Monaco,F., Mencattelli,G., Curini,V., Teodori,L., Polci,A., Amatori,G., Valleriani,F.","Istituto Zooprofilattico Sperimentale dell'Abruzzo e del Molise 'G. Caporale', Animals Foreign Diseases",Italy,20/12/2023,2023.TE.19081.1.1,Orthoflavivirus usutuense,10671,partial,Emilia-Romagna,Italy,,Turdus merula,,15/09/2023,,
OR921100,Usutu virus,,"Savini,G., Monaco,F., Mencattelli,G., Curini,V., Teodori,L., Polci,A., Amatori,G., Valleriani,F.","Istituto Zooprofilattico Sperimentale dell'Abruzzo e del Molise 'G. Caporale', Animals Foreign Diseases",Italy,20/12/2023,2023.TE.18370.1.1,Orthoflavivirus usutuense,10835,partial,Veneto,Italy,,Culex pipiens,,08/09/2023,,
OR921101,Usutu virus,,"Savini,G., Monaco,F., Mencattelli,G., Curini,V., Teodori,L., Polci,A., Amatori,G., Valleriani,F.","Istituto Zooprofilattico Sperimentale dell'Abruzzo e del Molise 'G. Caporale', Animals Foreign Diseases",Italy,20/12/2023,2023.TE.18384.1.1,Orthoflavivirus usutuense,10681,partial,Veneto,Italy,,Culex pipiens,,08/09/2023,,
OR921102,Usutu virus,,"Savini,G., Monaco,F., Mencattelli,G., Curini,V., Teodori,L., Polci,A., Amatori,G., Valleriani,F.","Istituto Zooprofilattico Sperimentale dell'Abruzzo e del Molise 'G. Caporale', Animals Foreign Diseases",Italy,20/12/2023,2023.TE.19089.1.1,Orthoflavivirus usutuense,10837,partial,Emilia-Romagna,Italy,,Culex pipiens,,15/09/2023,,
OR921103,Usutu virus,,"Savini,G., Monaco,F., Mencattelli,G., Curini,V., Teodori,L., Polci,A., Amatori,G., Valleriani,F.","Istituto Zooprofilattico Sperimentale dell'Abruzzo e del Molise 'G. Caporale', Animals Foreign Diseases",Italy,20/12/2023,2023.TE.16834.1.1,Orthoflavivirus usutuense,10806,partial,Emilia-Romagna,Italy,,Culex pipiens,,11/08/2023,,
OR921104,Usutu virus,,"Savini,G., Monaco,F., Mencattelli,G., Curini,V., Teodori,L., Polci,A., Amatori,G., Valleriani,F.","Istituto Zooprofilattico Sperimentale dell'Abruzzo e del Molise 'G. Caporale', Animals Foreign Diseases",Italy,20/12/2023,2023.TE.18389.1.1,Orthoflavivirus usutuense,10483,partial,Emilia-Romagna,Italy,,Culex pipiens,,08/09/2023,,
OR921105,Usutu virus,,"Savini,G., Monaco,F., Mencattelli,G., Curini,V., Teodori,L., Polci,A., Amatori,G., Valleriani,F.","Istituto Zooprofilattico Sperimentale dell'Abruzzo e del Molise 'G. Caporale', Animals Foreign Diseases",Italy,20/12/2023,2023.TE.18391.1.1,Orthoflavivirus usutuense,10598,partial,Emilia-Romagna,Italy,,Phoenicurus phoenicurus,,08/09/2023,,
OR921106,Usutu virus,,"Savini,G., Monaco,F., Mencattelli,G., Curini,V., Teodori,L., Polci,A., Amatori,G., Valleriani,F.","Istituto Zooprofilattico Sperimentale dell'Abruzzo e del Molise 'G. Caporale', Animals Foreign Diseases",Italy,20/12/2023,2023.TE.16994.1.1,Orthoflavivirus usutuense,10684,partial,Veneto,Italy,,Culex pipiens,,24/08/2023,,
OR757488,Usutu virus,,"Savini,G., Monaco,F., Mencattelli,G., Curini,V., Teodori,L., Polci,A., Amatori,G., Valleriani,F.","Istituto Zooprofilattico Sperimentale dell'Abruzzo e del Molise 'G. Caporale', Animals Foreign Diseases",Italy,19/11/2023,15721.2.4,Orthoflavivirus usutuense,10401,partial,Veneto,Italy,,Culex pipiens,,06/07/2023,,
OR757489,Usutu virus,,"Savini,G., Monaco,F., Mencattelli,G., Curini,V., Teodori,L., Polci,A., Amatori,G., Valleriani,F.","Istituto Zooprofilattico Sperimentale dell'Abruzzo e del Molise 'G. Caporale', Animals Foreign Diseases",Italy,19/11/2023,15721.2.6,Orthoflavivirus usutuense,10400,partial,Veneto,Italy,,Culex pipiens,,07/07/2023,,
OR757490,Usutu virus,,"Savini,G., Monaco,F., Mencattelli,G., Curini,V., Teodori,L., Polci,A., Amatori,G., Valleriani,F.","Istituto Zooprofilattico Sperimentale dell'Abruzzo e del Molise 'G. Caporale', Animals Foreign Diseases",Italy,19/11/2023,17404.2.10,Orthoflavivirus usutuense,10401,partial,Emilia-Romagna,Italy,,Culex pipiens,,11/07/2023,,
OR757491,Usutu virus,,"Savini,G., Monaco,F., Mencattelli,G., Curini,V., Teodori,L., Polci,A., Amatori,G., Valleriani,F.","Istituto Zooprofilattico Sperimentale dell'Abruzzo e del Molise 'G. Caporale', Animals Foreign Diseases",Italy,19/11/2023,17404.2.12,Orthoflavivirus usutuense,10400,partial,Emilia-Romagna,Italy,,Laridae sp.,,20/07/2023,,
OR757492,Usutu virus,,"Savini,G., Monaco,F., Mencattelli,G., Curini,V., Teodori,L., Polci,A., Amatori,G., Valleriani,F.","Istituto Zooprofilattico Sperimentale dell'Abruzzo e del Molise 'G. Caporale', Animals Foreign Diseases",Italy,19/11/2023,17404.2.13,Orthoflavivirus usutuense,10647,partial,Emilia-Romagna,Italy,,Culex pipiens,,24/07/2023,,
OR757493,Usutu virus,,"Savini,G., Monaco,F., Mencattelli,G., Curini,V., Teodori,L., Polci,A., Amatori,G., Valleriani,F.","Istituto Zooprofilattico Sperimentale dell'Abruzzo e del Molise 'G. Caporale', Animals Foreign Diseases",Italy,19/11/2023,17404.2.16,Orthoflavivirus usutuense,10646,partial,Piemonte,Italy,,Culex pipiens,,15/07/2023,,
OR757494,Usutu virus,,"Savini,G., Monaco,F., Mencattelli,G., Curini,V., Teodori,L., Polci,A., Amatori,G., Valleriani,F.","Istituto Zooprofilattico Sperimentale dell'Abruzzo e del Molise 'G. Caporale', Animals Foreign Diseases",Italy,19/11/2023,17404.2.20,Orthoflavivirus usutuense,10647,partial,Emilia-Romagna,Italy,,Turdus merula,,24/07/2023,,
OR757495,Usutu virus,,"Savini,G., Monaco,F., Mencattelli,G., Curini,V., Teodori,L., Polci,A., Amatori,G., Valleriani,F.","Istituto Zooprofilattico Sperimentale dell'Abruzzo e del Molise 'G. Caporale', Animals Foreign Diseases",Italy,19/11/2023,17404.2.2,Orthoflavivirus usutuense,10539,partial,Emilia-Romagna,Italy,,Culex pipiens,,18/07/2023,,
OR757496,Usutu virus,,"Savini,G., Monaco,F., Mencattelli,G., Curini,V., Teodori,L., Polci,A., Amatori,G., Valleriani,F.","Istituto Zooprofilattico Sperimentale dell'Abruzzo e del Molise 'G. Caporale', Animals Foreign Diseases",Italy,19/11/2023,17404.2.3,Orthoflavivirus usutuense,10609,partial,Emilia-Romagna,Italy,,,,15/07/2023,,
OR757497,Usutu virus,,"Savini,G., Monaco,F., Mencattelli,G., Curini,V., Teodori,L., Polci,A., Amatori,G., Valleriani,F.","Istituto Zooprofilattico Sperimentale dell'Abruzzo e del Molise 'G. Caporale', Animals Foreign Diseases",Italy,19/11/2023,17404.2.5,Orthoflavivirus usutuense,10835,partial,Emilia-Romagna,Italy,,Culex pipiens,,16/07/2023,,
OR573992,Usutu virus,,"Giglia,G., Oude Munnink,B.B., Mencattelli,G., Agliani,G., Berends,A., Munger,E., Sikkema,R.S., Kik,M., Rijks,J.M., Koopmans,M.P.G., Mandara,M.T., Grone,A., van den Brand,J.M.A., Reusken,C.B.E.M., Savini,G.","Erasmus MC Rotterdam, Viroscience",Netherlands,24/10/2023,AS201700144,Orthoflavivirus usutuense,10728,complete,Limburg (NL),Netherlands,,Branta ruficollis,brain,15/08/2017,,
OR573993,Usutu virus,,"Giglia,G., Oude Munnink,B.B., Mencattelli,G., Agliani,G., Berends,A., Munger,E., Sikkema,R.S., Kik,M., Rijks,J.M., Koopmans,M.P.G., Mandara,M.T., Grone,A., van den Brand,J.M.A., Reusken,C.B.E.M., Savini,G.","Erasmus MC Rotterdam, Viroscience",Netherlands,24/10/2023,AS201700147,Orthoflavivirus usutuense,10728,complete,Limburg (NL),Netherlands,,Branta ruficollis,brain,15/08/2017,,
OR141529,Usutu virus,,"Bergmann,F., Holicki,C., Groschup,M.H., Sadeghi,B., Ziegler,U.","Friedrich-Loeffler-Institut, Institute of Novel and Emerging Infectious Diseases",Germany,05/09/2023,ED-I-58/18,Orthoflavivirus usutuense,10304,partial,Wildpark Schwarze Berge (NI),Germany,,,,,,
OR141530,Usutu virus,,"Bergmann,F., Holicki,C., Groschup,M.H., Sadeghi,B., Ziegler,U.","Friedrich-Loeffler-Institut, Institute of Novel and Emerging Infectious Diseases",Germany,05/09/2023,ED-I-44/18,Orthoflavivirus usutuense,11053,complete,Zoo Halle (ST),Germany,,,,,,
OR141531,Usutu virus,,"Bergmann,F., Holicki,C., Groschup,M.H., Sadeghi,B., Ziegler,U.","Friedrich-Loeffler-Institut, Institute of Novel and Emerging Infectious Diseases",Germany,05/09/2023,ED-I-19/18,Orthoflavivirus usutuense,10304,partial,Nordhorn (NI),Germany,,,,,,
OR141532,Usutu virus,,"Bergmann,F., Holicki,C., Groschup,M.H., Sadeghi,B., Ziegler,U.","Friedrich-Loeffler-Institut, Institute of Novel and Emerging Infectious Diseases",Germany,05/09/2023,ED-I-22/18,Orthoflavivirus usutuense,10304,partial,Tiergarten Nürnberg (BY),Germany,,,,,,
OR141533,Usutu virus,,"Bergmann,F., Holicki,C., Groschup,M.H., Sadeghi,B., Ziegler,U.","Friedrich-Loeffler-Institut, Institute of Novel and Emerging Infectious Diseases",Germany,05/09/2023,ED-I-29/18,Orthoflavivirus usutuense,10304,partial,Geestland (NI),Germany,,,,,,
