"","accession","isolate","collection.date.formatted","collection.date.decimal","iso.country.code","iso.country","iso.subdivision.code","iso.subdivision.name","genotype","host.class","host.order","host.genus","host.species","isolation.source","seq.length","full.length","seq.technology","title","pubmed.id_1","citation_1","region","moltype","pubmed.id_2","pubmed.id_3","pubmed.id_4","pubmed.id_5","pubmed.id_6","citation_2","citation_3","citation_4","citation_5","citation_6","notes","genbank.createdate","is.europe","segment","flags"
"11","OR166159","ED-I-152/18",2018-01-01,2018,"DE","Germany",NA,NA,NA,"Aves","Passeriformes","Turdus","merula",NA,10959,"nflg","Nanopore","UNVERIFIED: Usutu virus isolate ED-I-152/18 genomic sequence",NA,"Submitted (20-JUN-2023) Institute of Novel and Emerging Infectious Diseases, Friedrich-Loeffler-Institut, Sudufer 10, Greifswald, Mecklenburg-Vorpommern 17493, Germany",NA,"rna",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-08-27,"European","nflg","collection.date_resolution,subdivision_missing"
"12","OR166158","ED-I-134/18",2018-01-01,2018,"DE","Germany",NA,NA,NA,"Aves","Passeriformes","Turdus","merula",NA,11062,"nflg","Nanopore","UNVERIFIED: Usutu virus isolate ED-I-134/18 genomic sequence",NA,"Submitted (20-JUN-2023) Institute of Novel and Emerging Infectious Diseases, Friedrich-Loeffler-Institut, Sudufer 10, Greifswald, Mecklenburg-Vorpommern 17493, Germany",NA,"rna",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-08-27,"European","nflg","collection.date_resolution,subdivision_missing"
"13","OR166157","ED-I-130/18",2018-01-01,2018,"DE","Germany",NA,NA,NA,"Aves","Passeriformes","Turdus","merula",NA,11062,"nflg","Nanopore","UNVERIFIED: Usutu virus isolate ED-I-130/18 genomic sequence",NA,"Submitted (20-JUN-2023) Institute of Novel and Emerging Infectious Diseases, Friedrich-Loeffler-Institut, Sudufer 10, Greifswald, Mecklenburg-Vorpommern 17493, Germany",NA,"rna",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-08-27,"European","nflg","collection.date_resolution,subdivision_missing"
"14","OR166156","ED-I-122/18",2018-01-01,2018,"DE","Germany",NA,NA,NA,"Aves","Passeriformes","Fringilla","coelebs",NA,10990,"nflg","Nanopore","UNVERIFIED: Usutu virus isolate ED-I-122/18 genomic sequence",NA,"Submitted (20-JUN-2023) Institute of Novel and Emerging Infectious Diseases, Friedrich-Loeffler-Institut, Sudufer 10, Greifswald, Mecklenburg-Vorpommern 17493, Germany",NA,"rna",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-08-27,"European","nflg","collection.date_resolution,subdivision_missing"
"15","OR166155","ED-I-108/18",2018-01-01,2018,"DE","Germany",NA,NA,NA,"Aves","Passeriformes","Turdus","merula",NA,10920,"nflg","Nanopore","UNVERIFIED: Usutu virus isolate ED-I-108/18 genomic sequence",NA,"Submitted (20-JUN-2023) Institute of Novel and Emerging Infectious Diseases, Friedrich-Loeffler-Institut, Sudufer 10, Greifswald, Mecklenburg-Vorpommern 17493, Germany",NA,"rna",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-08-27,"European","nflg","collection.date_resolution,subdivision_missing"
"16","OR166154","ED-I-99/18",2018-01-01,2018,"DE","Germany",NA,NA,NA,"Aves","Passeriformes","Turdus","merula",NA,11010,"nflg","Nanopore","UNVERIFIED: Usutu virus isolate ED-I-99/18 genomic sequence",NA,"Submitted (20-JUN-2023) Institute of Novel and Emerging Infectious Diseases, Friedrich-Loeffler-Institut, Sudufer 10, Greifswald, Mecklenburg-Vorpommern 17493, Germany",NA,"rna",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-08-27,"European","nflg","collection.date_resolution,subdivision_missing"
"17","OR166153","ED-I-97/18",2018-01-01,2018,"DE","Germany",NA,NA,NA,"Aves","Passeriformes","Turdus","merula",NA,10920,"nflg","Nanopore","UNVERIFIED: Usutu virus isolate ED-I-97/18 genomic sequence",NA,"Submitted (20-JUN-2023) Institute of Novel and Emerging Infectious Diseases, Friedrich-Loeffler-Institut, Sudufer 10, Greifswald, Mecklenburg-Vorpommern 17493, Germany",NA,"rna",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-08-27,"European","nflg","collection.date_resolution,subdivision_missing"
"18","OR166152","ED-I-85/18",2018-01-01,2018,"DE","Germany",NA,NA,NA,"Aves","Passeriformes","Turdus","merula",NA,10917,"nflg","Nanopore","UNVERIFIED: Usutu virus isolate ED-I-85/18 genomic sequence",NA,"Submitted (20-JUN-2023) Institute of Novel and Emerging Infectious Diseases, Friedrich-Loeffler-Institut, Sudufer 10, Greifswald, Mecklenburg-Vorpommern 17493, Germany",NA,"rna",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-08-27,"European","nflg","collection.date_resolution,subdivision_missing"
"19","OR166151","ED-I-81/18",2018-01-01,2018,"DE","Germany",NA,NA,NA,"Aves","Strigiformes","Strix","nebulosa",NA,10914,"nflg","Nanopore","UNVERIFIED: Usutu virus isolate ED-I-81/18 genomic sequence",NA,"Submitted (20-JUN-2023) Institute of Novel and Emerging Infectious Diseases, Friedrich-Loeffler-Institut, Sudufer 10, Greifswald, Mecklenburg-Vorpommern 17493, Germany",NA,"rna",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-08-27,"European","nflg","collection.date_resolution,subdivision_missing"
"20","OR166150","ED-I-304/19",2018-01-01,2018,"DE","Germany",NA,NA,NA,"Aves","Passeriformes","Turdus","merula",NA,11053,"nflg","Nanopore","UNVERIFIED: Usutu virus isolate ED-I-304/19 genomic sequence",NA,"Submitted (20-JUN-2023) Institute of Novel and Emerging Infectious Diseases, Friedrich-Loeffler-Institut, Sudufer 10, Greifswald, Mecklenburg-Vorpommern 17493, Germany",NA,"rna",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-08-27,"European","nflg","collection.date_resolution,subdivision_missing"
"21","OR166149","ED-I-300/19",2018-01-01,2018,"DE","Germany",NA,NA,NA,"Aves","Passeriformes","Turdus","merula",NA,10920,"nflg","Nanopore","UNVERIFIED: Usutu virus isolate ED-I-300/19 genomic sequence",NA,"Submitted (20-JUN-2023) Institute of Novel and Emerging Infectious Diseases, Friedrich-Loeffler-Institut, Sudufer 10, Greifswald, Mecklenburg-Vorpommern 17493, Germany",NA,"rna",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-08-27,"European","nflg","collection.date_resolution,subdivision_missing"
"22","OR166148","ED-I-296/19",2018-01-01,2018,"DE","Germany",NA,NA,NA,"Aves","Passeriformes","Turdus","merula",NA,11062,"nflg","Nanopore","UNVERIFIED: Usutu virus isolate ED-I-296/19 genomic sequence",NA,"Submitted (20-JUN-2023) Institute of Novel and Emerging Infectious Diseases, Friedrich-Loeffler-Institut, Sudufer 10, Greifswald, Mecklenburg-Vorpommern 17493, Germany",NA,"rna",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-08-27,"European","nflg","collection.date_resolution,subdivision_missing"
"23","OR166147","ED-I-04/19",2018-01-01,2018,"DE","Germany",NA,NA,NA,"Aves","Passeriformes","Turdus","merula",NA,10992,"nflg","Nanopore","UNVERIFIED: Usutu virus isolate ED-I-04/19 genomic sequence",NA,"Submitted (20-JUN-2023) Institute of Novel and Emerging Infectious Diseases, Friedrich-Loeffler-Institut, Sudufer 10, Greifswald, Mecklenburg-Vorpommern 17493, Germany",NA,"rna",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-08-27,"European","nflg","collection.date_resolution,subdivision_missing"
"24","OR166146","04-51018-000819",2018-01-01,2018,"DE","Germany",NA,NA,NA,"Aves","Passeriformes","Turdus","merula",NA,10920,"nflg","Nanopore","UNVERIFIED: Usutu virus isolate 04-51018-000819 genomic sequence",NA,"Submitted (20-JUN-2023) Institute of Novel and Emerging Infectious Diseases, Friedrich-Loeffler-Institut, Sudufer 10, Greifswald, Mecklenburg-Vorpommern 17493, Germany",NA,"rna",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-08-27,"European","nflg","collection.date_resolution,subdivision_missing"
"25","OR166145","04-51018-000725",2018-01-01,2018,"DE","Germany",NA,NA,NA,"Aves","Passeriformes","Turdus","merula",NA,10990,"nflg","Nanopore","UNVERIFIED: Usutu virus isolate 04-51018-000725 genomic sequence",NA,"Submitted (20-JUN-2023) Institute of Novel and Emerging Infectious Diseases, Friedrich-Loeffler-Institut, Sudufer 10, Greifswald, Mecklenburg-Vorpommern 17493, Germany",NA,"rna",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-08-27,"European","nflg","collection.date_resolution,subdivision_missing"
"26","OR166144","04-51018-000808",2018-01-01,2018,"DE","Germany",NA,NA,NA,"Aves","Passeriformes","Turdus","merula",NA,11045,"nflg","Nanopore","UNVERIFIED: Usutu virus isolate 04-51018-000808 genomic sequence",NA,"Submitted (20-JUN-2023) Institute of Novel and Emerging Infectious Diseases, Friedrich-Loeffler-Institut, Sudufer 10, Greifswald, Mecklenburg-Vorpommern 17493, Germany",NA,"rna",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-08-27,"European","nflg","collection.date_resolution,subdivision_missing"
"27","OR166143","ED-I-302/19",2018-01-01,2018,"DE","Germany",NA,NA,NA,"Aves","Passeriformes","Turdus","philomelos",NA,10990,"nflg","Nanopore","UNVERIFIED: Usutu virus isolate ED-I-302/19 genomic sequence",NA,"Submitted (20-JUN-2023) Institute of Novel and Emerging Infectious Diseases, Friedrich-Loeffler-Institut, Sudufer 10, Greifswald, Mecklenburg-Vorpommern 17493, Germany",NA,"rna",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-08-27,"European","nflg","collection.date_resolution,subdivision_missing"
"28","OR166142","ED-I-297/19",2018-01-01,2018,"DE","Germany",NA,NA,NA,"Aves","Passeriformes","Turdus","merula",NA,10914,"nflg","Nanopore","UNVERIFIED: Usutu virus isolate ED-I-297/19 genomic sequence",NA,"Submitted (20-JUN-2023) Institute of Novel and Emerging Infectious Diseases, Friedrich-Loeffler-Institut, Sudufer 10, Greifswald, Mecklenburg-Vorpommern 17493, Germany",NA,"rna",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-08-27,"European","nflg","collection.date_resolution,subdivision_missing"
"29","OR166141","ED-I-86/18",2018-01-01,2018,"DE","Germany",NA,NA,NA,"Aves","Strigiformes","Strix","nebulosa",NA,11057,"nflg","Nanopore","UNVERIFIED: Usutu virus isolate ED-I-86/18 genomic sequence",NA,"Submitted (20-JUN-2023) Institute of Novel and Emerging Infectious Diseases, Friedrich-Loeffler-Institut, Sudufer 10, Greifswald, Mecklenburg-Vorpommern 17493, Germany",NA,"rna",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-08-27,"European","nflg","collection.date_resolution,subdivision_missing"
"30","OR166140","ED-I-45/17",2017-01-01,2017,"DE","Germany",NA,NA,NA,"Aves","Strigiformes","Strix","nebulosa",NA,10914,"nflg","Nanopore","UNVERIFIED: Usutu virus isolate ED-I-45/17 genomic sequence",NA,"Submitted (20-JUN-2023) Institute of Novel and Emerging Infectious Diseases, Friedrich-Loeffler-Institut, Sudufer 10, Greifswald, Mecklenburg-Vorpommern 17493, Germany",NA,"rna",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-08-27,"European","nflg","collection.date_resolution,subdivision_missing"
"31","OR166139","ED-I-44/17",2017-01-01,2017,"DE","Germany",NA,NA,NA,"Aves","Strigiformes","Strix","nebulosa",NA,10920,"nflg","Nanopore","UNVERIFIED: Usutu virus isolate ED-I-44/17 genomic sequence",NA,"Submitted (20-JUN-2023) Institute of Novel and Emerging Infectious Diseases, Friedrich-Loeffler-Institut, Sudufer 10, Greifswald, Mecklenburg-Vorpommern 17493, Germany",NA,"rna",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-08-27,"European","nflg","collection.date_resolution,subdivision_missing"
"32","OR166138","ED-I-38/17",2017-01-01,2017,"DE","Germany",NA,NA,NA,"Aves","Strigiformes","Surnia","ulula",NA,10980,"nflg","Nanopore","UNVERIFIED: Usutu virus isolate ED-I-38/17 genomic sequence",NA,"Submitted (20-JUN-2023) Institute of Novel and Emerging Infectious Diseases, Friedrich-Loeffler-Institut, Sudufer 10, Greifswald, Mecklenburg-Vorpommern 17493, Germany",NA,"rna",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-08-27,"European","nflg","collection.date_resolution,subdivision_missing"
"33","OR166137","ED-I-30/17",2017-01-01,2017,"DE","Germany",NA,NA,NA,"Aves","Passeriformes","Turdus","merula",NA,11050,"nflg","Nanopore","UNVERIFIED: Usutu virus isolate ED-I-30/17 genomic sequence",NA,"Submitted (20-JUN-2023) Institute of Novel and Emerging Infectious Diseases, Friedrich-Loeffler-Institut, Sudufer 10, Greifswald, Mecklenburg-Vorpommern 17493, Germany",NA,"rna",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-08-27,"European","nflg","collection.date_resolution,subdivision_missing"
"34","OR166136","ED-I-25/17",2017-01-01,2017,"DE","Germany",NA,NA,NA,"Aves","Passeriformes","Turdus","merula",NA,10910,"nflg","Nanopore","UNVERIFIED: Usutu virus isolate ED-I-25/17 genomic sequence",NA,"Submitted (20-JUN-2023) Institute of Novel and Emerging Infectious Diseases, Friedrich-Loeffler-Institut, Sudufer 10, Greifswald, Mecklenburg-Vorpommern 17493, Germany",NA,"rna",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-08-27,"European","nflg","collection.date_resolution,subdivision_missing"
"35","OR166135","ED-I-05/19",2017-01-01,2017,"DE","Germany",NA,NA,NA,"Aves","Passeriformes","Turdus","merula",NA,10317,"nflg","Nanopore","UNVERIFIED: Usutu virus isolate ED-I-05/19 genomic sequence",NA,"Submitted (20-JUN-2023) Institute of Novel and Emerging Infectious Diseases, Friedrich-Loeffler-Institut, Sudufer 10, Greifswald, Mecklenburg-Vorpommern 17493, Germany",NA,"rna",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-08-27,"European","nflg","collection.date_resolution,subdivision_missing"
"36","OR141606","M4509",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10932,"nflg","Nanopore","UNVERIFIED: Usutu virus isolate M4509, complete genome",NA,"Submitted (15-JUN-2023) Institute of Novel and Emerging Infectious Diseases, Friedrich-Loeffler-Institut, Sudufer 10, Greifswald, Mecklenburg-Vorpommern 17493, Germany",NA,"rna",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-09-05,"European","nflg","collection.date_missing,country_missing,subdivision_missing,host_missing"
"37","OR141605","ED-I-228/21",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11062,"nflg","Nanopore","UNVERIFIED: Usutu virus isolate ED-I-228/21, complete genome",NA,"Submitted (15-JUN-2023) Institute of Novel and Emerging Infectious Diseases, Friedrich-Loeffler-Institut, Sudufer 10, Greifswald, Mecklenburg-Vorpommern 17493, Germany",NA,"rna",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-09-05,"European","nflg","collection.date_missing,country_missing,subdivision_missing,host_missing"
"38","OR141604","ED-I-215/21",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11062,"nflg","Nanopore","UNVERIFIED: Usutu virus isolate ED-I-215/21, complete genome",NA,"Submitted (15-JUN-2023) Institute of Novel and Emerging Infectious Diseases, Friedrich-Loeffler-Institut, Sudufer 10, Greifswald, Mecklenburg-Vorpommern 17493, Germany",NA,"rna",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-09-05,"European","nflg","collection.date_missing,country_missing,subdivision_missing,host_missing"
"39","OR141603","ED-I-178/21",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10926,"nflg","Nanopore","UNVERIFIED: Usutu virus isolate ED-I-178/21, complete genome",NA,"Submitted (15-JUN-2023) Institute of Novel and Emerging Infectious Diseases, Friedrich-Loeffler-Institut, Sudufer 10, Greifswald, Mecklenburg-Vorpommern 17493, Germany",NA,"rna",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-09-05,"European","nflg","collection.date_missing,country_missing,subdivision_missing,host_missing"
"40","OR141602","ED-I-177/21",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10920,"nflg","Nanopore","UNVERIFIED: Usutu virus isolate ED-I-177/21, complete genome",NA,"Submitted (15-JUN-2023) Institute of Novel and Emerging Infectious Diseases, Friedrich-Loeffler-Institut, Sudufer 10, Greifswald, Mecklenburg-Vorpommern 17493, Germany",NA,"rna",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-09-05,"European","nflg","collection.date_missing,country_missing,subdivision_missing,host_missing"
"41","OR141601","ED-I-19/22",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11065,"nflg","Nanopore","UNVERIFIED: Usutu virus isolate ED-I-19/22, complete genome",NA,"Submitted (15-JUN-2023) Institute of Novel and Emerging Infectious Diseases, Friedrich-Loeffler-Institut, Sudufer 10, Greifswald, Mecklenburg-Vorpommern 17493, Germany",NA,"rna",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-09-05,"European","nflg","collection.date_missing,country_missing,subdivision_missing,host_missing"
"42","OR141600","ED-I-18/22",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10932,"nflg","Nanopore","UNVERIFIED: Usutu virus isolate ED-I-18/22, complete genome",NA,"Submitted (15-JUN-2023) Institute of Novel and Emerging Infectious Diseases, Friedrich-Loeffler-Institut, Sudufer 10, Greifswald, Mecklenburg-Vorpommern 17493, Germany",NA,"rna",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-09-05,"European","nflg","collection.date_missing,country_missing,subdivision_missing,host_missing"
"43","OR141599","ED-I-249/21",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11063,"nflg","Nanopore","UNVERIFIED: Usutu virus isolate ED-I-249/21, complete genome",NA,"Submitted (15-JUN-2023) Institute of Novel and Emerging Infectious Diseases, Friedrich-Loeffler-Institut, Sudufer 10, Greifswald, Mecklenburg-Vorpommern 17493, Germany",NA,"rna",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-09-05,"European","nflg","collection.date_missing,country_missing,subdivision_missing,host_missing"
"44","OR141530","ED-I-44/18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11053,"nflg","Nanopore","Usutu virus isolate ED-I-44/18, complete genome",NA,"Submitted (15-JUN-2023) Institute of Novel and Emerging Infectious Diseases, Friedrich-Loeffler-Institut, Sudufer 10, Greifswald, Mecklenburg-Vorpommern 17493, Germany",NA,"rna",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-09-05,"European","nflg","collection.date_missing,country_missing,subdivision_missing,host_missing"
"45","OP422565","USUV-19 51217-UGF187",2019-01-01,2019,"DE","Germany","BE","Berlin",NA,"Aves","Anseriformes","Tachyeres",NA,NA,11040,"nflg","Nanopore","Usutu virus isolate USUV-19 51217-UGF187 polyprotein gene, complete cds",36439823,"Front Microbiol 13, 1044316 (2022)","Berlin","rna",NA,NA,NA,NA,NA,"Submitted (13-SEP-2022) Institute of Novel and Emerging Infectious Diseases, Friedrich-Loeffler-Institut, Sudufer 10, Greifswald, Mecklenburg-Vorpommern 17493, Germany",NA,NA,NA,NA,NA,2023-01-30,"European","nflg","collection.date_resolution"
"46","OP422564","ED-I-171/19",2019-01-01,2019,"DE","Germany","BB","Brandenburg",NA,"Aves","Strigiformes","Strix","nebulosa",NA,11000,"nflg","Nanopore","Usutu virus isolate ED-I-171/19 polyprotein gene, complete cds",36439823,"Front Microbiol 13, 1044316 (2022)","Brandenburg","rna",NA,NA,NA,NA,NA,"Submitted (13-SEP-2022) Institute of Novel and Emerging Infectious Diseases, Friedrich-Loeffler-Institut, Sudufer 10, Greifswald, Mecklenburg-Vorpommern 17493, Germany",NA,NA,NA,NA,NA,2023-01-30,"European","nflg","collection.date_resolution"
"47","OP422563","ED-I-74/19",2019-01-01,2019,"DE","Germany","NI","Niedersachsen",NA,"Aves","Passeriformes","Turdus","merula",NA,11060,"nflg","Nanopore","Usutu virus isolate ED-I-74/19 polyprotein gene, complete cds",36439823,"Front Microbiol 13, 1044316 (2022)","Lower Saxony","rna",NA,NA,NA,NA,NA,"Submitted (13-SEP-2022) Institute of Novel and Emerging Infectious Diseases, Friedrich-Loeffler-Institut, Sudufer 10, Greifswald, Mecklenburg-Vorpommern 17493, Germany",NA,NA,NA,NA,NA,2023-01-30,"European","nflg","collection.date_resolution"
"48","OP422562","ED-I-44/20",2019-01-01,2019,"DE","Germany","BY","Bayern",NA,"Aves","Strigiformes","Strix","nebulosa",NA,11065,"nflg","Nanopore","Usutu virus isolate ED-I-44/20 polyprotein gene, complete cds",36439823,"Front Microbiol 13, 1044316 (2022)","Bavaria","rna",NA,NA,NA,NA,NA,"Submitted (13-SEP-2022) Institute of Novel and Emerging Infectious Diseases, Friedrich-Loeffler-Institut, Sudufer 10, Greifswald, Mecklenburg-Vorpommern 17493, Germany",NA,NA,NA,NA,NA,2023-01-30,"European","nflg","collection.date_resolution"
